image_path,true_class,predicted_class,confidence,correct,probability_cardboard,probability_glass,probability_metal,probability_paper,probability_plastic,probability_trash
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\glass\glass102.jpg,glass,plastic,0.9577843,False,0.0008553947,0.028768362,0.008872708,0.0027562636,0.9577843,0.00096294424
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\cardboard\cardboard190.jpg,cardboard,paper,0.95630926,False,0.0025411667,0.0002611552,0.022395229,0.95630926,0.007720012,0.01077315
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\plastic\plastic466.jpg,plastic,trash,0.9442339,False,0.0003109395,6.577246e-05,0.013457789,0.041838173,9.33851e-05,0.9442339
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\cardboard\cardboard331.jpg,cardboard,paper,0.94200075,False,0.028776659,0.0006695107,0.005698757,0.94200075,0.017812183,0.0050421567
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\trash\trash92.jpg,trash,cardboard,0.9355704,False,0.9355704,0.0017001904,0.00052707025,0.0024106114,0.00023773371,0.059554003
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\cardboard\cardboard163.jpg,cardboard,paper,0.9322879,False,0.06619738,1.1911282e-05,0.00014659576,0.9322879,0.0013200823,3.6097717e-05
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\paper\paper462.jpg,paper,cardboard,0.91049016,False,0.91049016,0.0012099645,0.010909743,0.071586795,0.0056193843,0.00018384811
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\cardboard\cardboard254.jpg,cardboard,paper,0.90777665,False,0.09114473,5.7568115e-05,8.342087e-05,0.90777665,0.0008367592,0.000100903264
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\paper\paper400.jpg,paper,cardboard,0.89725447,False,0.89725447,0.0004735755,0.00036438365,0.10088723,0.0006683174,0.00035185457
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\glass\glass462.jpg,glass,plastic,0.83266634,False,0.00022181193,0.14777458,0.018837363,0.00012643551,0.83266634,0.00037342325
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\paper\paper118.jpg,paper,trash,0.8038168,False,0.0026896296,0.00763828,0.011186657,0.15690455,0.017764097,0.8038168
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\glass\glass269.jpg,glass,plastic,0.7860488,False,0.002868839,0.08058252,0.105843015,0.020090872,0.7860488,0.0045659374
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\trash\trash89.jpg,trash,paper,0.7806833,False,0.031010257,9.1371265e-05,4.1025258e-05,0.7806833,0.00013707219,0.18803701
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\glass\glass159.jpg,glass,metal,0.76781553,False,0.00018377526,0.2272254,0.76781553,0.0005807621,0.00399613,0.00019840187
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\glass\glass499.jpg,glass,plastic,0.7660706,False,7.212995e-05,0.22623034,0.007063904,1.0652965e-05,0.7660706,0.0005522764
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\paper\paper212.jpg,paper,cardboard,0.762833,False,0.762833,0.00012214985,0.00010065353,0.22241448,0.006139738,0.008389971
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\metal\metal370.jpg,metal,plastic,0.75804657,False,0.0019259277,0.036638055,0.20114292,0.0016452107,0.75804657,0.0006013051
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\cardboard\cardboard206.jpg,cardboard,paper,0.7279373,False,0.265017,0.0010160565,0.004761684,0.7279373,0.0005694931,0.00069846923
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\trash\trash59.jpg,trash,paper,0.7256414,False,0.0020242534,0.00017738408,2.2370741e-05,0.7256414,0.012645488,0.2594891
C:\Users\Mudassar Iqbal Shah\Documents\Internship\smart-waste-classification\data\processed\test\cardboard\cardboard294.jpg,cardboard,paper,0.7122757,False,0.21149252,0.0012811983,0.0005728382,0.7122757,0.06751538,0.006862304
